[2026-02-20 07:19:52] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:25:09] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:25:09] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:25:53] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:25:53] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:25:53] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:25:53] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:25:53] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:25:53] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:26:25] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:26:25] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:26:25] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:26:25] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:26:25] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:26:25] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:27:02] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:27:02] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:27:02] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:27:02] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:27:02] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:27:02] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:27:29] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:27:29] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:27:29] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:27:29] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:27:29] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:27:29] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:27:48] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:27:48] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:27:48] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:27:48] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:27:48] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:27:48] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:28:22] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:28:22] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:28:22] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:28:22] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:28:22] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:28:22] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:28:43] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:28:43] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:28:43] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:28:43] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:28:43] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:28:43] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:31:38] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:31:38] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:31:38] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:31:38] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:31:38] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:31:38] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:33:55] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:33:55] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:33:55] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:33:55] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:33:55] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:33:55] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:34:37] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:34:37] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:34:37] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:34:37] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:34:37] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:34:37] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:35:15] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:35:15] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:35:15] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:35:15] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:35:15] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:35:15] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:35:53] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:35:53] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:35:53] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:35:53] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:35:53] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:35:53] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 14:09:41] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 14:09:41] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 14:09:41] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 14:09:41] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 14:09:41] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 14:09:41] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 14:29:04] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 14:29:04] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 14:29:04] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 14:29:04] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 14:29:04] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 14:29:04] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 14:37:39] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 14:37:39] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 14:37:39] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 14:37:39] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 14:37:39] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 14:37:39] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 14:39:20] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 14:39:20] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 14:39:20] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 14:39:20] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 14:39:20] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 14:39:20] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 14:41:09] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 14:41:09] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 14:41:09] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 14:41:09] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 14:41:09] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 14:41:09] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 15:16:20] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 15:16:20] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 15:16:20] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 15:16:20] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 15:16:20] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 15:16:20] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-23 10:44:30] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-23 10:44:30] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-23 10:44:30] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-23 10:44:30] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-23 10:44:30] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-23 10:44:30] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-23 10:45:04] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-23 10:45:04] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-23 10:45:04] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-23 10:45:04] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-23 10:45:04] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-23 10:45:04] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-23 10:45:37] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-23 10:45:37] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-23 10:45:37] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-23 10:45:37] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-23 10:45:37] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-23 10:45:37] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-23 10:46:11] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-23 10:46:11] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-23 10:46:11] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-23 10:46:11] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-23 10:46:11] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-23 10:46:11] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-23 10:46:40] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-23 10:46:40] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-23 10:46:40] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-23 10:46:40] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-23 10:46:40] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-23 10:46:40] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-23 10:47:14] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-23 10:47:14] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-23 10:47:14] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-23 10:47:14] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-23 10:47:14] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-23 10:47:14] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-23 10:55:13] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-23 10:55:13] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-23 10:55:13] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-23 10:55:13] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-23 10:55:13] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-23 10:55:13] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-23 10:55:47] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-23 10:55:47] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-23 10:55:47] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-23 10:55:47] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-23 10:55:47] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-23 10:55:47] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-23 11:07:34] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-23 11:07:34] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-23 11:07:34] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-23 11:07:34] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-23 11:07:34] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-23 11:07:34] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-23 11:08:07] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-23 11:08:07] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-23 11:08:07] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-23 11:08:07] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-23 11:08:07] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-23 11:08:07] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-23 11:12:06] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-23 11:12:06] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-23 11:12:06] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-23 11:12:06] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-23 11:12:06] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-23 11:12:06] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-23 11:21:04] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-23 11:21:04] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-23 11:21:04] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-23 11:21:04] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-23 11:21:04] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-23 11:21:04] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-23 11:21:38] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-23 11:21:38] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-23 11:21:38] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-23 11:21:38] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-23 11:21:38] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-23 11:21:38] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-23 11:28:07] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-23 11:28:07] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-23 11:28:07] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-23 11:28:07] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-23 11:28:07] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-23 11:28:07] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-23 11:28:40] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-23 11:28:40] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-23 11:28:40] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-23 11:28:40] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-23 11:28:40] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-23 11:28:40] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-23 13:08:13] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-23 13:08:13] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-23 13:08:13] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-23 13:08:13] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-23 13:08:13] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-23 13:08:13] SLOW QUERY (101ms): Just above threshold | Args: []
